Geo Point;Geo Shape;code_insee;commune;pole;existant;hierarchisation;type_reseau;type_amenagement;longueur_m;annee_creation;annee_refection;num_rev
43.633574955515336, 1.4335509363947256;"{""coordinates"": [[[1.433483204176204, 43.640006843908346], [1.43336835668328, 43.636101545205726], [1.433251220248112, 43.63536233790601], [1.433261475043027, 43.634684044210935], [1.433482414635937, 43.63338333341837], [1.433645542399682, 43.63176000543987], [1.433861476755145, 43.6284682433007], [1.433867867150194, 43.62714254791131]]], ""type"": ""MultiLineString""}";31555;Toulouse;Nord;oui;1 V;RC;bande cyclable;1433;2010;0;REV 14 V
43.66113537838662, 1.4830781828499269;"{""coordinates"": [[[1.48290414315576, 43.66118591041422], [1.482942464099159, 43.66114929907339], [1.482988357726488, 43.66112977753929], [1.48307601206893, 43.66110583794202], [1.483231757601245, 43.661150531582855], [1.483260160704116, 43.661169669657355]]], ""type"": ""MultiLineString""}";31561;L'Union;Nord;non;2;RC;;34;0;0;
43.652937246669076, 1.42447516110125;"{""coordinates"": [[[1.424787943365556, 43.65233588242502], [1.424812007578064, 43.65241415497797], [1.424904884594967, 43.65248511660009], [1.424799314073228, 43.65265745639069], [1.424557844998335, 43.65301509637693], [1.424544650038521, 43.65305265762075], [1.424418437708955, 43.65313271679913], [1.42437274175341, 43.65311815539911], [1.424257349582511, 43.65312587584198], [1.424154400265339, 43.65314770650981], [1.424065930481683, 43.65320318840737], [1.42399843220194, 43.65328962291701], [1.423892524416096, 43.65345039122727]]], ""type"": ""MultiLineString""}";31555;Toulouse;Nord;oui;1;RC;piste cyclable;165;2021;0;
43.6951966414603, 1.3790064189830025;"{""coordinates"": [[[1.379195878322965, 43.69574179501989], [1.37881695964304, 43.6946514879007]]], ""type"": ""MultiLineString""}";31205;Gagnac-sur-Garonne;Nord;oui;2;RC;voie verte;125;2013;0;
43.577116620662856, 1.5077631284907917;"{""coordinates"": [[[1.507846001204687, 43.57739057708145], [1.507770295641859, 43.577312440566644], [1.507765181322322, 43.57721211397617], [1.507758656407395, 43.57711934730963], [1.507753509901214, 43.57702185962486], [1.50773587837498, 43.57688548994301], [1.50773030179782, 43.57681827327173]]], ""type"": ""MultiLineString""}";31555;Toulouse;Est;oui;5;IC;itineraire conseille;66;0;0;
43.696190599988654, 1.4393786185834962;"{""coordinates"": [[[1.440755375038815, 43.6969278797888], [1.440595348574752, 43.69685945678405], [1.440316455987569, 43.69676169335923], [1.439663602697394, 43.69638375840728], [1.439194620828933, 43.696094318652555], [1.438042313456475, 43.69537370639827]]], ""type"": ""MultiLineString""}";31116;Castelginest;Nord;non;1;RC;;279;0;0;REV 9
43.54747774768191, 1.335925871739186;"{""coordinates"": [[[1.337128452905907, 43.548563237575], [1.336855654840412, 43.54830820823399], [1.336302271861186, 43.547796184308005], [1.336053266973052, 43.54759623779879], [1.335923767312844, 43.547483447126965], [1.335625220168995, 43.54721304861673], [1.335220193537725, 43.54685371377825], [1.334876870182951, 43.54653844794541], [1.334717930217874, 43.54639795656026]]], ""type"": ""MultiLineString""}";31157;Cugnaux;Sud;non;1;RC;voie verte;309;0;0;REV 14 Sud
43.61656528183541, 1.521898781097103;"{""coordinates"": [[[1.520714055003697, 43.61705741599389], [1.521311920626523, 43.61676180448975], [1.521987382091934, 43.61650459127844], [1.522137771111167, 43.61645836834009], [1.522256828447188, 43.61641759435814], [1.522488287727143, 43.61634735411089], [1.522904088297856, 43.61622356523282], [1.523114706959697, 43.616152227492336]]], ""type"": ""MultiLineString""}";31418;Pin-Balma;Est;non;2;RC;;219;0;0;
43.62681463412695, 1.5315067518692222;"{""coordinates"": [[[1.530491796163623, 43.62706171547372], [1.53086465006202, 43.62713249063743], [1.53223964375895, 43.62648566047939], [1.532517743060822, 43.62644199733725]]], ""type"": ""MultiLineString""}";31418;Pin-Balma;Est;non;2;RC;;186;0;0;
43.67971543507595, 1.4266403447931904;"{""coordinates"": [[[1.425944271875167, 43.67970467368717], [1.427336417711214, 43.679726196464735]]], ""type"": ""MultiLineString""}";31467;Saint-Alban;Nord;oui;2;RC;CVCB;112;2019;0;
43.67868506005748, 1.422954518458157;"{""coordinates"": [[[1.422760763086624, 43.67862243136317], [1.422953749736519, 43.67865405527224], [1.423056610914752, 43.67872218969745], [1.423098547988655, 43.67881710713444]]], ""type"": ""MultiLineString""}";31186;Fonbeauzard;Nord;non;2;RC;;38;0;0;
43.694798454718715, 1.3489982792900848;"{""coordinates"": [[[1.350984306388211, 43.695411192374685], [1.350412044044226, 43.695399593579225], [1.350190575788998, 43.69538726079245], [1.349994245346821, 43.695352438191044], [1.349753987205693, 43.69529357967292], [1.349576256541077, 43.69523810209054], [1.349481628600784, 43.6952041649178], [1.349286136057669, 43.69511920158319], [1.349153249249081, 43.695032892723], [1.349024556838877, 43.69493053671418], [1.348907600003283, 43.69482733427479], [1.34880461564277, 43.694746962627924], [1.348631684991468, 43.69463759618607], [1.348162696779918, 43.694453743020915], [1.348000872774566, 43.69438326532014], [1.347871843747236, 43.69430077110363], [1.347722541469236, 43.69418214945608], [1.347596982777198, 43.69404764806849], [1.347277179358641, 43.69367491983219], [1.347254091232157, 43.69365201077836]]], ""type"": ""MultiLineString""}";31541;Seilh;Ouest;non;2;RC;;378;0;0;
43.693312537364825, 1.3468394720198604;"{""coordinates"": [[[1.347254091232157, 43.69365201077836], [1.347046221852448, 43.69344866908715], [1.346794839881867, 43.6932742797901], [1.346403015089358, 43.69299931645172]]], ""type"": ""MultiLineString""}";31032;Aussonne;Ouest;non;2;RC;;100;0;0;
43.60821193227185, 1.3339750781664783;"{""coordinates"": [[[1.334598446258499, 43.60835599742978], [1.334142840606199, 43.6085033477755], [1.334058838854981, 43.60846570567125], [1.333951905370066, 43.60831999755489], [1.333511670249761, 43.607746438224936], [1.333510842352573, 43.60768056172649]]], ""type"": ""MultiLineString""}";31149;Colomiers;Ouest;oui;3;RC;bande cyclable;147;2022;0;
43.59390138535433, 1.494540419237444;"{""coordinates"": [[[1.492727163115036, 43.59365428425043], [1.492836366426985, 43.59366550467685], [1.492914794581416, 43.593642437285816], [1.493002909109104, 43.59367053011151], [1.493096215310928, 43.59370055583389], [1.493148075144392, 43.59371513332379], [1.493755991936202, 43.59380765040036], [1.494037826617217, 43.593853270165674], [1.494060056477813, 43.59384586647165], [1.494174516329083, 43.59385239371033], [1.494316051170697, 43.59387804692981], [1.4943548070541, 43.59389914905358], [1.494456017456564, 43.59392260954301], [1.49482223503994, 43.593983993090056], [1.495093612796506, 43.59403331624581], [1.49542363223817, 43.59407739766025], [1.495851513287129, 43.59405569019885], [1.496358111113506, 43.59393276280815]]], ""type"": ""MultiLineString""}";31044;Balma;Est;non;1;RC;piste cyclable;302;0;0;REV 10 Est
43.61575792666304, 1.4942597688022063;"{""coordinates"": [[[1.493474666807902, 43.6155001461033], [1.493481756952755, 43.615552235286685], [1.493575207887954, 43.61557374573769], [1.493584999716728, 43.615618286647845], [1.493815850078906, 43.61559256639462], [1.493995903206459, 43.615661081756514], [1.494177815192893, 43.615688925635084], [1.494376025015106, 43.61576230580749], [1.49447443449726, 43.61580182870612], [1.494681795657246, 43.615872437797144], [1.494820198288868, 43.61593874774607], [1.494887140410787, 43.615993175178446], [1.494951818402418, 43.61606656416019], [1.495058900830414, 43.616010671586835]]], ""type"": ""MultiLineString""}";31044;Balma;Est;non;2;RC;;156;0;0;
43.658913603237295, 1.486037123623394;"{""coordinates"": [[[1.487014523583342, 43.65926021607246], [1.486794016678324, 43.65918760222865], [1.485797083482939, 43.65882248966648], [1.485304320997067, 43.65865132488851], [1.485055110875005, 43.65858133137958]]], ""type"": ""MultiLineString""}";31561;L'Union;Nord;non;1;RC;;175;0;0;REV 8 Nord
43.66883936898485, 1.3231371055221413;"{""coordinates"": [[[1.323119914720485, 43.66889219972296], [1.323154296323798, 43.66878653824674]]], ""type"": ""MultiLineString""}";31150;Cornebarrieu;Ouest;non;2;RC;;12;0;0;
43.62220006278772, 1.3924086541896805;"{""coordinates"": [[[1.393001906194446, 43.621868749968485], [1.392839037725195, 43.621972253616754], [1.392728441280024, 43.6220605980313], [1.392536963277222, 43.622145101024685], [1.392345347173986, 43.62223811805072], [1.39197397145874, 43.62241478611794], [1.391793993691666, 43.622494492914]]], ""type"": ""MultiLineString""}";31069;Blagnac;Ouest;oui;1;RC;piste cyclable;120;2014;0;REV 12
43.582000299234636, 1.5530122106969677;"{""coordinates"": [[[1.554378003109073, 43.58378178599709], [1.554378792540229, 43.58372123985273], [1.554352349066422, 43.58355454111375], [1.554300034139024, 43.583375365708484], [1.554251057727491, 43.58323878545733], [1.554212720452627, 43.58318217524948], [1.554164197021433, 43.58311329900269], [1.554063773697453, 43.583030291615586], [1.553760127056484, 43.58283149127163], [1.553597838537685, 43.58273373232693], [1.553428314158969, 43.58265183807599], [1.553173349735552, 43.58254823355403], [1.552941778382317, 43.582442557425225], [1.552766614591001, 43.582326453369134], [1.552394630952625, 43.58198973650744], [1.552280721591861, 43.58187662797713], [1.55217522198213, 43.58175564513417], [1.552032974555603, 43.581536232408446], [1.551968417605292, 43.58139532016172], [1.551964469907488, 43.581330454741526], [1.551988403616194, 43.58124599700726], [1.552072354146802, 43.58115549465948], [1.55226644831149, 43.58094301853094], [1.552467175768472, 43.58078133285851], [1.55257992324965, 43.5807119463993], [1.552931849883608, 43.580563786471416], [1.553085939736976, 43.58047942444922], [1.553161137929916, 43.58040960504075], [1.55320948396216, 43.58033791539366]]], ""type"": ""MultiLineString""}";31445;Quint-Fonsegrives;Est;oui;5;IC;itineraire conseille;504;0;0;
43.64675584298626, 1.4851899420872756;"{""coordinates"": [[[1.484506187427399, 43.646524186620645], [1.484604652595943, 43.64649784725006], [1.484697321808714, 43.646486243976945], [1.484827803957566, 43.646473033027554], [1.484985108575815, 43.64649692352258], [1.485088530265312, 43.64655352225865], [1.485148538520469, 43.64664006959773], [1.485168209901251, 43.646722531039195], [1.485258008076679, 43.64682755009253], [1.485361662048081, 43.64690228549353], [1.485459272607279, 43.64696030213991], [1.485531232799035, 43.6470308559243], [1.485657858633894, 43.647105603726736], [1.485763135177173, 43.64713199516906], [1.48585069743952, 43.647136378504726]]], ""type"": ""MultiLineString""}";31555;Toulouse;Est;oui;4;RV;reseau vert;145;0;0;
43.62420291086578, 1.3260509598804282;"{""coordinates"": [[[1.323515473826296, 43.625281718931966], [1.323636405389362, 43.62524423376482], [1.323676511154784, 43.62525407698736], [1.323722673418628, 43.62527533137459], [1.323768763818607, 43.62527393974218], [1.323827349194083, 43.6252557504482], [1.324180257877182, 43.625096193144984], [1.324539599244884, 43.62493518495652], [1.325592476128541, 43.62446311303256], [1.326098750223731, 43.62423887292321], [1.326129368780858, 43.62419428912712], [1.32614863780457, 43.62412432495143], [1.326174482836672, 43.624073498108686], [1.326217693651525, 43.624021633475024], [1.326269782220186, 43.623982248797205], [1.326327292054204, 43.623951691221734], [1.326391804690175, 43.62392380789813], [1.326418060527946, 43.62389639891878], [1.326426713000273, 43.62386513414051], [1.326534406670981, 43.62381265963694], [1.326571223451986, 43.62380007038458], [1.326646858058465, 43.62380631081386], [1.326674767327541, 43.62382163729269], [1.326709436987774, 43.623875144082255], [1.326730656284939, 43.623901695311865], [1.326772200322663, 43.62391104514037], [1.326825092845558, 43.623899721921646], [1.32697702733356, 43.623855858009], [1.32709718710989, 43.62381334190093], [1.327196987839741, 43.62376486854995], [1.327274839076539, 43.623715564445035], [1.327356145633723, 43.62364418386437], [1.327417000743428, 43.62359463200473], [1.327499352591204, 43.62353664599896], [1.327597136355338, 43.623483512235524], [1.327747513593544, 43.623424965091], [1.327855148979077, 43.6233745465111], [1.327910611355461, 43.62334087068597], [1.327967172729039, 43.62329331622878], [1.328016930187467, 43.62323537167289], [1.328061478843574, 43.623186613577104], [1.32811630530967, 43.623150355538286], [1.328251902413013, 43.62308799123], [1.32838105085167, 43.623027593315825], [1.328482825068963, 43.62295856403074]]], ""type"": ""MultiLineString""}";31149;Colomiers;Ouest;oui;3;RC;piste cyclable;506;2014;0;
43.67055292334867, 1.3676398037404747;"{""coordinates"": [[[1.367999369339634, 43.67005215284646], [1.367915117206598, 43.670159865239626], [1.367797795809854, 43.67032476176979], [1.367742245320144, 43.6704073015719], [1.36742374746621, 43.670866869185], [1.367274940770125, 43.6710495902192]]], ""type"": ""MultiLineString""}";31056;Beauzelle;Ouest;oui;1;RC;piste cyclable;125;2012;2015;REV 1 Nord
43.68485997035785, 1.4134632234707196;"{""coordinates"": [[[1.414470371118451, 43.68069639454011], [1.414200525179984, 43.681623298635344], [1.413971585315969, 43.68243416120635], [1.413513278898203, 43.683997222472755], [1.413535702526724, 43.68406457957832], [1.413376143721524, 43.68460257506263], [1.413308998318054, 43.68472880989338], [1.413261986672858, 43.68481830928511], [1.413178654058609, 43.68506457092319], [1.413150575306499, 43.68519396263456], [1.413041217578747, 43.685352020890235], [1.412830032404679, 43.686023945420146], [1.41281509786267, 43.68614681965901], [1.412851552319398, 43.68623416132771], [1.412876559337862, 43.68638763775144], [1.412656338618727, 43.687053811548445], [1.412655398448837, 43.687087533253084], [1.41270506410955, 43.68711106713039], [1.412733840150133, 43.68716220134985], [1.412800174802219, 43.68729926820469], [1.412962114284579, 43.68760656003125], [1.412965856052951, 43.687632944367365], [1.413033585562724, 43.687915646838334], [1.41308353068722, 43.68810621348538], [1.413133864333135, 43.68814415431917], [1.413780981744866, 43.6880374183399], [1.414101997540999, 43.68808556896938]]], ""type"": ""MultiLineString""}";31467;Saint-Alban;Nord;oui;4;RV;reseau vert;935;0;0;
43.64389399928844, 1.3217385205135146;"{""coordinates"": [[[1.323632594647306, 43.6456670827863], [1.323528048007517, 43.64545515848031], [1.323301276093872, 43.64499803580963], [1.323147243102217, 43.64478566740694], [1.323013899071343, 43.644581054560504], [1.322923521945841, 43.64445630061917], [1.32276513342549, 43.64434607708389], [1.322356681108072, 43.644077503083736], [1.322120904327022, 43.6439221160836], [1.321733705423735, 43.64370671417164], [1.321135970270963, 43.64338345386249], [1.320453205470328, 43.64308119000094], [1.319936016154447, 43.64292516869066], [1.319481500948932, 43.64276213705244], [1.31934750468081, 43.642750526874366]]], ""type"": ""MultiLineString""}";31150;Cornebarrieu;Ouest;oui;5;IC;itineraire conseille;495;0;0;
43.62251626837817, 1.28861308743341;"{""coordinates"": [[[1.286936667237353, 43.62257819215222], [1.287168153783933, 43.6225973688874], [1.287353256790073, 43.62258867564075], [1.287592022936659, 43.622564395695214], [1.287855779696186, 43.622526154950236], [1.288068294467416, 43.62251393051903], [1.288353928604159, 43.622490083638816], [1.288705689739183, 43.622483876806214], [1.288964752885511, 43.62249100566595], [1.289246275531615, 43.62247941672084], [1.289619041244779, 43.622463940907124], [1.289878179676448, 43.622461749331684], [1.290055552638276, 43.62252191003867], [1.290147443881205, 43.622560793617005], [1.290219876489378, 43.622588710489715], [1.29025963186948, 43.62262408443153]]], ""type"": ""MultiLineString""}";31417;Pibrac;Ouest;oui;4;RV;reseau vert;274;0;0;
43.687902675303, 1.3983374860272917;"{""coordinates"": [[[1.400229091200338, 43.68461208138174], [1.400015866947581, 43.6849064595974], [1.397781198716196, 43.688887278768874], [1.396931602792977, 43.69042811284126], [1.396659461610388, 43.690901762297976], [1.396461726582085, 43.69120383091735]]], ""type"": ""MultiLineString""}";31182;Fenouillet;Nord;oui;1;RC;voie verte;793;0;0;REV 2 Nord
43.59479661788164, 1.320880902171728;"{""coordinates"": [[[1.32236246210873, 43.5947891195596], [1.32231912196551, 43.59478412055798], [1.319551018116917, 43.594807420506754], [1.319399759175862, 43.59482241791967]]], ""type"": ""MultiLineString""}";31557;Tournefeuille;Sud;oui;4;RV;reseau vert;239;0;0;
43.55765831203106, 1.5429546094631583;"{""coordinates"": [[[1.547686102291125, 43.5554394455827], [1.547749457646286, 43.55552936320864], [1.547674885240546, 43.55558898405063], [1.5474815293703, 43.55565858365019], [1.546763365203561, 43.55589817201914], [1.545951950986417, 43.556162141441646], [1.54577540875831, 43.55619709655661], [1.545526931767822, 43.556300852238095], [1.545201227445198, 43.556426869664584], [1.544942451303604, 43.55656070072098], [1.544589321409225, 43.55676537338447], [1.544274581538812, 43.55696820443397], [1.544125706075128, 43.55704765305638], [1.543721142769934, 43.557265615769694], [1.543136534607587, 43.55753010062224], [1.542680856170548, 43.55774741501708], [1.542083467883403, 43.558011735166254], [1.541947722824965, 43.55809317242008], [1.541896062782832, 43.558162821109875], [1.541839446711685, 43.55831096313827], [1.541792900750244, 43.5583872714304], [1.541393343755757, 43.55854673830822], [1.540673900964473, 43.55883739186279], [1.539738059545706, 43.55922521847892], [1.53826175385516, 43.55983274792837], [1.538090986253109, 43.55989216077659]]], ""type"": ""MultiLineString""}";31506;Saint-Orens de Gameville;Est;oui;3;RC;voie verte;939;2007;0;
43.65328187633427, 1.3748034517122767;"{""coordinates"": [[[1.375577969241756, 43.65481622763076], [1.375569028736647, 43.654709197738526], [1.37545967660916, 43.65461358619429], [1.37567365342378, 43.6543193988622], [1.375626053949701, 43.65422679342215], [1.37553468279485, 43.65422978656239], [1.375020784746368, 43.654052870254354], [1.374399341687772, 43.65380254791315], [1.374468230249052, 43.65365175106416], [1.374521270863488, 43.65351406574582], [1.37455560600281, 43.653404604548214], [1.374571847058571, 43.65328647553884], [1.374584347942396, 43.65307653864377], [1.374573856227649, 43.6529193924234], [1.374552379456172, 43.65279621247631], [1.374508648259018, 43.652599044758446], [1.374463488521394, 43.652409433294295], [1.37441932467874, 43.65223875328858], [1.374409816351802, 43.65210148355968], [1.374401098899855, 43.65191407474171], [1.374412107181374, 43.65171642476905], [1.374490903979457, 43.65135472353686], [1.374512848999176, 43.65128678879541]]], ""type"": ""MultiLineString""}";31069;Blagnac;Ouest;oui;3;RC;piste cyclable;467;0;0;
43.6800571936743, 1.3875681127282793;"{""coordinates"": [[[1.385764755903703, 43.68055958297407], [1.385872575008282, 43.68050182692057], [1.386122222859708, 43.680460398032], [1.386331529923022, 43.68041579193705], [1.38647148513285, 43.680386689102285], [1.386497081952003, 43.680333918496565], [1.386646265002102, 43.68029826985689], [1.387167284596942, 43.68016260692715], [1.387638658637673, 43.680033147571926], [1.387887378599424, 43.67996805318266], [1.388043284059894, 43.679920159769075], [1.388208065417824, 43.67988653042423], [1.388431968742087, 43.679825012439686], [1.388641297357109, 43.679777563214905], [1.388760479156285, 43.67974355389302], [1.388911011979079, 43.67970412762521], [1.389111589235958, 43.67963389898271], [1.389384195711788, 43.67954250894043]]], ""type"": ""MultiLineString""}";31182;Fenouillet;Nord;oui;2;RC;piste cyclable;315;0;0;
43.68541662110294, 1.4187039151722316;"{""coordinates"": [[[1.417179979623319, 43.688187145766754], [1.417237223832982, 43.68811097476448], [1.417293128937213, 43.68803668307146], [1.417234332248606, 43.68795956995534], [1.417209322832627, 43.68789030054307], [1.417156891719855, 43.687823644865055], [1.417093737337518, 43.68777677322366], [1.417086826189757, 43.687717111669755], [1.417106107765544, 43.68765009166996], [1.417170729306796, 43.68751815799539], [1.417469349185859, 43.68709198264234], [1.418054099940405, 43.686286835293245], [1.419527806413579, 43.6842229562524], [1.420150509034364, 43.683319707032105], [1.420529616453386, 43.682827945237044], [1.420621269605017, 43.68280219490713], [1.420678457702778, 43.68281401005375], [1.420714835198143, 43.68277875174012]]], ""type"": ""MultiLineString""}";31467;Saint-Alban;Nord;oui;2;RC;piste cyclable;687;2003;0;
43.61014324038433, 1.520881222405863;"{""coordinates"": [[[1.519520844369128, 43.61022822840254], [1.520058916622442, 43.61020561945696], [1.520804697565179, 43.61013436242255], [1.521346964061533, 43.61009096291785], [1.521624470208025, 43.61007877079468], [1.521889955996846, 43.610089196230575], [1.522208407249558, 43.610130278978545], [1.522240234799564, 43.61013286255125]]], ""type"": ""MultiLineString""}";31044;Balma;Est;non;2;RC;;220;0;0;
43.52784344120328, 1.3484358074049452;"{""coordinates"": [[[1.346239122804283, 43.52656890646348], [1.347486004096088, 43.5273864417461], [1.348166413501362, 43.52778365390115], [1.348758014429529, 43.528113637269804], [1.349430449082549, 43.52838706540029], [1.350080477878958, 43.52865192454427], [1.350349631222989, 43.52875470060208], [1.350573714283519, 43.52884858734666], [1.350728184533923, 43.52875589955979]]], ""type"": ""MultiLineString""}";31588;Villeneuve-Tolosane;Sud;oui;1;RC;bande cyclable;450;0;0;REV 7 Sud
43.62338689578218, 1.390212266145506;"{""coordinates"": [[[1.390844675439284, 43.62297486703725], [1.390912934392091, 43.62305514244654], [1.390548062458485, 43.623219327370876], [1.390305501709003, 43.62332617982877], [1.390216563570769, 43.62335993398569], [1.390019684473261, 43.62342951093253], [1.389734336015825, 43.623535233502466], [1.389667845285409, 43.623573948680956], [1.389658809868025, 43.623609688391376], [1.389673356737963, 43.62367221276104], [1.389714300999566, 43.62373186388161], [1.389768412167073, 43.62376921396325], [1.389821197452552, 43.62380750160926], [1.389889877867052, 43.62383985292647]]], ""type"": ""MultiLineString""}";31069;Blagnac;Ouest;oui;1;RC;piste cyclable;163;0;0;REV 12
43.558089061100496, 1.3346955230552615;"{""coordinates"": [[[1.332937858932849, 43.555879940907104], [1.33300305847663, 43.555963402781366], [1.333676072492704, 43.55663640123125], [1.333920624761356, 43.5568713190012], [1.334100719460691, 43.55708495857781], [1.334221161541741, 43.557259061833626], [1.334403827288315, 43.55761548331839], [1.334458749825987, 43.55775410698499], [1.334588313844235, 43.55809681282695], [1.33464944391415, 43.55825252120622], [1.334713953150141, 43.5583628451392], [1.334833160999769, 43.558546505114826], [1.334966782058334, 43.55872188495676], [1.335128445283405, 43.5588604011797], [1.335592359788087, 43.5592817539416], [1.33587103669381, 43.559577523822455], [1.336232066304403, 43.56000553347451], [1.336464511209943, 43.56026494007756], [1.336448191396057, 43.56028279148033]]], ""type"": ""MultiLineString""}";31157;Cugnaux;Sud;oui;3;RC;bande cyclable;572;0;0;
43.65032367169465, 1.3232859268643928;"{""coordinates"": [[[1.324315041155326, 43.65106430363723], [1.324293520344937, 43.65102721152804], [1.324268818341619, 43.6509475151911], [1.324237825281339, 43.65085357047384], [1.3241930273879, 43.650805863960066], [1.324060349963643, 43.650639103546055], [1.323950376886137, 43.6505927050941], [1.32384799763112, 43.65055962134894], [1.323210701340442, 43.650336311002], [1.322765782156002, 43.6501412111799], [1.322535642393059, 43.650036022290585], [1.322486594042529, 43.6500081452481], [1.322452141784324, 43.64996526031205], [1.322422907823568, 43.64992242223174], [1.322409814112169, 43.64984945294913], [1.322445125974156, 43.649764616417094], [1.322608827915842, 43.649562659869275]]], ""type"": ""MultiLineString""}";31150;Cornebarrieu;Ouest;oui;3;RC;voie verte;252;0;0;
